"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TATASTEEL","EQ","16-Mar-2016","        300.45","        300.00","        302.75","        294.20","        299.95","        299.50","        298.32","    7039372","      20999.71","      77294"
"TATASTEEL","EQ","17-Mar-2016","        299.50","        304.50","        305.65","        294.90","        295.75","        295.90","        301.24","    8005526","      24115.48","      78606"
"TATASTEEL","EQ","18-Mar-2016","        295.90","        299.70","        302.75","        296.95","        302.35","        302.20","        300.32","    7314488","      21966.57","      73786"
"TATASTEEL","EQ","21-Mar-2016","        302.20","        302.00","        305.95","        300.65","        304.20","        303.55","        303.62","    5651710","      17159.72","      66538"
"TATASTEEL","EQ","22-Mar-2016","        303.55","        303.10","        311.80","        301.35","        311.80","        309.80","        305.94","    6579069","      20127.69","      62384"
"TATASTEEL","EQ","23-Mar-2016","        309.80","        311.80","        317.90","        310.55","        317.00","        317.20","        313.95","    6377772","      20023.05","      68671"
"TATASTEEL","EQ","28-Mar-2016","        317.20","        318.40","        318.40","        297.40","        299.95","        299.15","        305.59","    9069782","      27716.03","      85276"
"TATASTEEL","EQ","29-Mar-2016","        299.15","        300.00","        307.75","        300.00","        304.25","        303.85","        304.66","    5937162","      18088.24","      58714"
"TATASTEEL","EQ","30-Mar-2016","        303.85","        309.45","        325.75","        305.30","        323.50","        324.30","        317.36","   12438899","      39476.33","     111029"
"TATASTEEL","EQ","31-Mar-2016","        324.30","        324.90","        324.90","        314.40","        319.05","        319.70","        319.99","   13349925","      42718.92","     118752"
"TATASTEEL","EQ","01-Apr-2016","        319.70","        317.65","        319.85","        313.35","        316.70","        317.75","        316.39","    5570019","      17622.90","      66748"
"TATASTEEL","EQ","04-Apr-2016","        317.75","        315.80","        323.10","        314.70","        320.85","        320.35","        320.55","    5167920","      16565.99","      50256"
"TATASTEEL","EQ","05-Apr-2016","        320.35","        316.95","        319.40","        308.30","        312.05","        312.30","        313.91","    5723253","      17965.68","      56211"
"TATASTEEL","EQ","06-Apr-2016","        312.30","        315.00","        332.00","        313.55","        328.35","        328.55","        325.40","   14591057","      47479.29","     134999"
"TATASTEEL","EQ","07-Apr-2016","        328.55","        329.90","        332.75","        322.10","        324.60","        323.70","        327.31","    8609454","      28179.92","      90434"
"TATASTEEL","EQ","08-Apr-2016","        323.70","        323.05","        324.80","        319.05","        322.70","        322.10","        322.15","    6080953","      19589.87","      57247"
"TATASTEEL","EQ","11-Apr-2016","        322.10","        322.00","        333.30","        320.05","        330.20","        331.15","        327.35","    9014830","      29509.62","      88016"
"TATASTEEL","EQ","12-Apr-2016","        331.15","        323.90","        330.90","        318.00","        324.75","        324.50","        325.89","   11110285","      36207.34","      98934"
"TATASTEEL","EQ","13-Apr-2016","        324.50","        327.50","        336.20","        326.00","        332.55","        332.85","        331.69","   10284415","      34112.51","      99995"
"TATASTEEL","EQ","18-Apr-2016","        332.85","        331.90","        337.25","        327.65","        336.30","        335.55","        333.37","    7192987","      23979.08","      76458"
"TATASTEEL","EQ","20-Apr-2016","        335.55","        337.95","        359.30","        337.70","        358.00","        357.45","        352.30","   18382196","      64761.36","     184468"
"TATASTEEL","EQ","21-Apr-2016","        357.45","        358.80","        364.05","        353.10","        354.00","        354.55","        357.13","   10350647","      36965.77","     114335"
"TATASTEEL","EQ","22-Apr-2016","        354.55","        358.00","        363.75","        352.30","        353.80","        353.65","        358.14","   12095871","      43320.16","     101778"
"TATASTEEL","EQ","25-Apr-2016","        353.65","        352.50","        353.70","        344.55","        349.05","        347.45","        347.37","    6159623","      21396.86","      61706"
"TATASTEEL","EQ","26-Apr-2016","        347.45","        347.15","        360.60","        347.10","        357.80","        358.60","        355.50","    8345302","      29667.57","      97034"
"TATASTEEL","EQ","27-Apr-2016","        358.60","        358.90","        362.40","        354.15","        356.60","        356.75","        357.46","    6027540","      21545.75","      56291"
